Category,Error Type,Minimal Pair,Flag/Explain
Preposition Errors,Missing Preposition,"""Listen the music"" / ""Listen to the music""",Flag + Explain
Preposition Errors,Unnecessary Preposition,"""Discuss about the issue"" / ""Discuss the issue""",Flag + Explain
Word Order Errors,Adverb Placement,"""He drives carefully always"" / ""He always drives carefully""",Flag + Explain
Word Order Errors,Adjective Order,"""A wooden old table"" / ""An old wooden table""",Flag + Explain
Word Order Errors,Question Word Order,"""Where you went?"" / ""Where did you go?""",Flag + Explain
Word Order Errors,Indirect Question Word Order,"""I wonder where is he"" / ""I wonder where he is""",Flag + Explain
Relative Clause Errors,Missing Relative Pronoun,"""The book I bought it"" / ""The book I bought"" OR ""The book that I bought""",Flag + Explain
Relative Clause Errors,Resumptive Pronoun,"""The person who I met him"" / ""The person who I met""",Flag + Explain
Relative Clause Errors,Wrong Relative Pronoun,"""The place who I visited"" / ""The place that/which I visited""",Flag + Explain
Passive Voice Errors,Missing 'be' in Passive,"""The house built in 1990"" / ""The house was built in 1990""",Flag + Explain
Passive Voice Errors,Passive with Intransitive Verb,"""The accident was happened"" / ""The accident happened""",Flag + Explain
Passive Voice Errors,Wrong Participle Form,"""It was write"" / ""It was written""",Flag + Explain
Gerund vs Infinitive Errors,Wrong Form after Verb,"""I enjoy to read"" / ""I enjoy reading""",Flag + Explain
Gerund vs Infinitive Errors,Wrong Form after Verb (opposite),"""I want reading"" / ""I want to read""",Flag + Explain
Gerund vs Infinitive Errors,Wrong Form after Preposition,"""I'm interested in to learn"" / ""I'm interested in learning""",Flag + Explain
Countability Errors,Uncountable Treated as Countable,"""An advice"" / ""A piece of advice"" OR ""Some advice""",Flag + Explain
Countability Errors,Wrong Quantifier for Countable,"""Much people"" / ""Many people""",Flag + Explain
Countability Errors,Wrong Quantifier for Uncountable,"""Many money"" / ""Much money""",Flag + Explain
Comparative and Superlative Errors,Double Comparative,"""More better"" / ""Better""",Flag + Explain
Comparative and Superlative Errors,Missing 'than' in Comparison,"""She is taller from me"" / ""She is taller than me""",Flag + Explain
Comparative and Superlative Errors,Wrong Superlative Form,"""The most good"" / ""The best""",Flag + Explain
Conditional Errors,Wrong Tense in If-Clause,"""If I will have time"" / ""If I have time""",Flag + Explain
Conditional Errors,Mixed Conditional Types,"""If I knew, I will tell you"" / ""If I knew, I would tell you""",Flag + Explain
Conditional Errors,Impossible Condition Formation,"""If I was you"" / ""If I were you""",Flag + Explain
Redundancy Errors,Double Negative,"""I don't have nothing"" / ""I don't have anything""",Flag + Explain
Redundancy Errors,Redundant Subject,"""My brother he is tall"" / ""My brother is tall""",Flag + Explain
Redundancy Errors,Redundant 'More' with Comparative,"""More easier"" / ""Easier""",Flag + Explain
Pronoun Errors,Subject-Object Pronoun Confusion,"""Between you and I"" / ""Between you and me""",Flag + Explain
Pronoun Errors,Reflexive Pronoun Misuse,"""Myself did it"" / ""I did it""",Flag + Explain
Pronoun Errors,Possessive vs Possessive Pronoun,"""That book is my"" / ""That book is mine""",Flag + Explain
Register and Formality Errors,Informal in Professional Context,"""Wanna discuss this?"" (in email to boss) / ""Would you like to discuss this?""",Flag Only
Register and Formality Errors,Overly Formal in Casual Context,"""I shall be there"" (to friend) / ""I'll be there""",Flag Only
Register and Formality Errors,Contractions in Formal Writing,"""The report doesn't show..."" (academic) / ""The report does not show...""",Flag Only
Sentence Fragment and Run-on Errors,Sentence Fragment,"""Because I was tired."" (standalone) / ""I left early because I was tired.""",Flag + Explain
Sentence Fragment and Run-on Errors,Comma Splice,"""I was tired~~,~~ I went home"" / ""I was tired, so I went home""",Flag + Explain
Sentence Fragment and Run-on Errors,Run-on Sentence,"""I went homeI was tired"" / ""I went home because I was tired""",Flag + Explain
Reported Speech Errors,Wrong Tense Backshift,"""He said he is tired"" / ""He said he was tired""",Flag + Explain
Reported Speech Errors,No Change in Time Adverbials,"""She said she would come tomorrow"" / ""She said she would come the next day""",Flag + Explain
Reported Speech Errors,Question Form in Reported Question,"""He asked where is she"" / ""He asked where she was""",Flag + Explain
Reported Speech Errors,Missing Comma in Non-Restrictive Clause,"""My brotherwho lives in London"" / ""My brother, who lives in London,""",Flag + Explain
Reported Speech Errors,Missing Apostrophe in Possessive,"""The students~~ books~~"" / ""The students' books""",Flag + Explain
Reported Speech Errors,Its vs It's,"""Its raining"" / ""It's raining""",Flag + Explain
