Error Type,Minimal Pair,Flag/Explain
Uncountable treated as countable,"""An advice"" → ""A piece of advice"" OR ""Some advice""",
Wrong quantifier for countable,"""Much people"" → ""Many people""",
Wrong quantifier for uncountable,"""Many money"" → ""Much money""",
Double comparative,"""More better"" → ""Better""",
Missing 'than' in comparison,"""She is taller from me"" → ""She is taller than me""",
Wrong superlative form,"""The most good"" → ""The best""",
Wrong tense in if-clause,"""If I will have time"" → ""If I have time""",
Mixed conditional types,"""If I knew, I will tell you"" → ""If I knew, I would tell you""",
Impossible condition formation,"""If I was you"" → ""If I were you""",
Double negative,"""I don't have nothing"" → ""I don't have anything""",
Redundant subject,"""My brother he is tall"" → ""My brother is tall""",
Redundant 'more' with comparative,"""More easier"" → ""Easier""",
Subject-object pronoun confusion,"""Between you and I"" → ""Between you and me""",
Reflexive pronoun misuse,"""Myself did it"" → ""I did it""",
Possessive vs possessive pronoun,"""That book is my"" → ""That book is mine""",
Informal in professional context,"""Wanna discuss this?"" → ""Would you like to discuss this?""",
Overly formal in casual context,"""I shall be there"" → ""I'll be there""",
Contractions in formal writing,"""The report doesn't show"" → ""The report does not show""",
Sentence fragment,"""Because I was tired."" → ""I left early because I was tired.""",
Comma splice,"""I was tired, I went home"" → ""I was tired, so I went home""",
Run-on sentence,"""I went home I was tired"" → ""I went home because I was tired""",
Wrong tense backshift,"""He said he is tired"" → ""He said he was tired""",
No change in time adverbials,"""She said she would come tomorrow"" → ""She said she would come the next day""",
Question form in reported question,"""He asked where is she"" → ""He asked where she was""",
Missing comma in non-restrictive clause,"""My brother who lives in London"" → ""My brother, who lives in London,""",
Missing apostrophe in possessive,"""The students books"" → ""The students' books""",
Its vs it's confusion,"""Its raining"" → ""It's raining""",
Missing definite article,"""I went to library yesterday"" → ""I went to the library yesterday""",
Missing indefinite article,"""He is teacher"" → ""He is a teacher""",
Unnecessary article with plural generalizations,"""The dogs are loyal animals"" → ""Dogs are loyal animals""",
Article with uncountable nouns,"""I need an information"" → ""I need information""",
Article with proper nouns,"""The Hong Kong is busy"" → ""Hong Kong is busy""",
Article with abstract nouns,"""The happiness is important"" → ""Happiness is important""",
Zero article with institutions (idiomatic),"""She is at the home"" → ""She is at home""",
Missing plural -s,"""Three book"" → ""Three books""",
Double plural marking,"""Many peoples"" → ""Many people""",
Irregular plural formation,"""Two childs"" → ""Two children""",
Third person singular -s missing,"""She work here"" → ""She works here""",
Agreement with quantifiers,"""Each of them have"" → ""Each of them has""",
Collective nouns (dialect variation),"""The team are ready"" → ""The team is ready""",
Missing past tense marker,"""Yesterday I go shopping"" → ""Yesterday I went shopping""",
Incorrect present perfect usage,"""I am living here for 5 years"" → ""I have lived here for 5 years""",
Simple past vs present perfect,"""Did you eat lunch yet?"" → ""Have you eaten lunch yet?""",
Future time expression with present tense,"""Tomorrow I go to work"" → ""Tomorrow I will go to work""",
Missing progressive aspect,"""She cooks now"" → ""She is cooking now""",
Stative verb in progressive,"""I am knowing the answer"" → ""I know the answer""",
Perfect aspect with definite past time,"""I have finished it yesterday"" → ""I finished it yesterday""",
Double modals,"""Will can you help?"" → ""Can you help?""",
Modal + infinitive with 'to',"""You should to go"" → ""You should go""",
Past modal formation,"""You should went"" → ""You should have gone""",
"Missing copula ""be""","""She happy"" → ""She is happy""",
Missing auxiliary in negatives,"""He not go"" → ""He doesn't go""",
Missing auxiliary in questions,"""You want coffee?"" → ""Do you want coffee?""",
Unnecessary copula with main verb,"""I am agree"" → ""I agree""",
Missing dummy subject,"""Is raining"" → ""It is raining""",
Wrong preposition (time),"""In Monday"" → ""On Monday""",
Wrong preposition (place),"""In the bus"" → ""On the bus""",
Wrong preposition (dependent),"""Depend of"" → ""Depend on""",
Missing preposition,"""Listen the music"" → ""Listen to the music""",
Unnecessary preposition,"""Discuss about the issue"" → ""Discuss the issue""",
Adverb placement,"""He drives carefully always"" → ""He always drives carefully""",
Adjective order,"""A wooden old table"" → ""An old wooden table""",
Question word order,"""Where you went?"" → ""Where did you go?""",
Indirect question word order,"""I wonder where is he"" → ""I wonder where he is""",
Resumptive pronoun,"""The person who I met him"" → ""The person who I met""",
Wrong relative pronoun,"""The place who I visited"" → ""The place that I visited""",
Missing relative pronoun (with resumptive),"""The book I bought it"" → ""The book I bought""",
Missing 'be' in passive,"""The house built in 1990"" → ""The house was built in 1990""",
Passive with intransitive verb,"""The accident was happened"" → ""The accident happened""",
Wrong participle form,"""It was write"" → ""It was written""",
Wrong form after verb,"""I enjoy to read"" → ""I enjoy reading""",
Wrong form after verb (opposite),"""I want reading"" → ""I want to read""",
Wrong form after preposition,"""I'm interested in to learn"" → ""I'm interested in learning""",
Wrong form with causatives,"""I made him to go"" → ""I made him go""",
Uncountable treated as countable,"""An advice"" → ""A piece of advice"" OR ""Some advice""",
Wrong quantifier for countable,"""Much people"" → ""Many people""",
Wrong quantifier for uncountable,"""Many money"" → ""Much money""",
Double comparative,"""More better"" → ""Better""",
Missing 'than' in comparison,"""She is taller from me"" → ""She is taller than me""",
Wrong superlative form,"""The most good"" → ""The best""",
"Wrong structure with ""as...as""","""as tall than me"" → ""as tall as me""",
Wrong tense in if-clause,"""If I will have time"" → ""If I have time""",
Mixed conditional types,"""If I knew, I will tell you"" → ""If I knew, I would tell you""",
Impossible condition formation,"""If I was you"" → ""If I were you""",
Double negative,"""I don't have nothing"" → ""I don't have anything""",
Redundant subject,"""My brother he is tall"" → ""My brother is tall""",
Redundant 'more' with comparative,"""More easier"" → ""Easier""",
Subject-object pronoun confusion,"""Between you and I"" → ""Between you and me""",
Reflexive pronoun misuse,"""Myself did it"" → ""I did it""",
Possessive vs possessive pronoun,"""That book is my"" → ""That book is mine""",
Missing subject pronoun,"""Is very cold today"" → ""It is very cold today""",
Informal in professional context,"""Wanna discuss this?"" → ""Would you like to discuss this?""",
Overly formal in casual context,"""I shall be there"" → ""I'll be there""",
Contractions in formal writing,"""The report doesn't show"" → ""The report does not show""",
Sentence fragment,"""Because I was tired."" → ""I left early because I was tired.""",
Comma splice,"""I was tired, I went home"" → ""I was tired, so I went home""",
Run-on sentence,"""I went home I was tired"" → ""I went home because I was tired""",
Dangling modifier,"""Walking down the street, the trees were beautiful"" → ""Walking down the street, I saw beautiful trees""",
Misplaced modifier,"""I only ate pizza yesterday"" (meaning unclear) → ""I ate only pizza yesterday"" OR ""I ate pizza only yesterday""",
Wrong tense backshift,"""He said he is tired"" → ""He said he was tired""",
No change in time adverbials,"""She said she would come tomorrow"" → ""She said she would come the next day""",
Question form in reported question,"""He asked where is she"" → ""He asked where she was""",
"""Have"" instead of ""there is/are""","""Have many people here"" → ""There are many people here""",
"Missing ""there"" in existential","""Are many options"" → ""There are many options""",
-ing vs -ed confusion,"""I am boring"" (when meaning bored) → ""I am bored""",
Wrong participle with feeling,"""The news was shocking me"" → ""The news shocked me"" OR ""I was shocked by the news""",
"Wrong pattern with ""suggest""","""I suggest to go"" → ""I suggest going""",
"Wrong pattern with ""recommend""","""I recommend you to try"" → ""I recommend that you try"" OR ""I recommend trying""",
Adjective used as adverb,"""He runs quick"" → ""He runs quickly""",
"""Hope"" with unreal past","""I hope I had more time"" (impossible) → ""I wish I had more time""",
"""Wish"" with future possibility","""I wish it will rain tomorrow"" → ""I hope it will rain tomorrow""",
Do vs make,"""make homework"" → ""do homework""",
Say vs tell,"""He said me"" → ""He told me""",
High vs tall,"""a high person"" → ""a tall person""",
Wrong auxiliary in tag,"""She went home, doesn't she?"" → ""She went home, didn't she?""",
Inconsistent structure in list,"""I like swimming, to run, and biking"" → ""I like swimming, running, and biking""",
Inconsistent structure in comparison,"""It's better to wait than rushing"" → ""It's better to wait than to rush""",
Missing inversion after negative adverbials,"""Never I have seen this"" → ""Never have I seen this""",
"Missing inversion with ""only""","""Only then I understood"" → ""Only then did I understand""",
Missing comma in non-restrictive clause,"""My brother who lives in London"" → ""My brother, who lives in London,""",
Missing apostrophe in possessive,"""The students books"" → ""The students' books""",
Its vs it's confusion,"""Its raining"" → ""It's raining""",
,Minimal pair (incorrect → correct),
,He go to work every day. → He goes to work every day.,
,She like coffee. → She likes coffee.,
,There is many reasons. → There are many reasons.,
,There are a big problem. → There is a big problem.,
,Yesterday I go to Central. → Yesterday I went to Central.,
,Last year we are very busy. → Last year we were very busy.,
,I have seen him yesterday. → I saw him yesterday.,
,I saw him many times before. → I have seen him many times before.,
,I am understanding the problem now. → I understand the problem now.,
,She checks the report now. → She is checking the report now.,
,I will meet him at 3 (fixed plan). → I am going to meet him at 3.,
,"Look at the clouds, it is going to rain. → Look at the clouds, it will rain.",
,He can to go now. → He can go now.,
,You must to finish this. → You must finish this.,
,I don’t know where do they live. → I don’t know where they live.,
,She asked why did he leave. → She asked why he left.,
,You are going where? → Where are you going?,
,He is coming when? → When is he coming?,
,I have no time. → I don’t have any time.,
,I don’t have no time. → I don’t have any time.,
,I don’t need no help. → I don’t need any help.,
,She never says nothing. → She never says anything.,
,He is manager of the team. → He is the manager of the team.,
,I bought computer yesterday. → I bought a computer yesterday.,
,The happiness is important. → Happiness is important.,
,The informations are useful. → The information is useful.,
,The dogs are friendly animals. → Dogs are friendly animals.,
,Dogs in the next flat are noisy. → The dogs in the next flat are noisy.,
,Many informations. → Much information.,
,Much furnitures. → Much furniture.,
,These equipment are new. → This equipment is new.,
,This data is wrong. → These data are wrong.,
,I drank two coffees. → I drank two cups of coffee.,
,We ordered three chickens. → We ordered three roast chickens.,
,I will see you in Friday. → I will see you on Friday.,
,He left on 2010. → He left in 2010.,
,He is waiting in the bus stop. → He is waiting at the bus stop.,
,She arrived to the office. → She arrived at the office.,
,Listen music. → Listen to music.,
,Discuss about the issue. → Discuss the issue.,
,Depend of him. → Depend on him.,
,Responsible of the project. → Responsible for the project.,
,In Hong Kong people will say… → In Hong Kong people say…,
,In Hong Kong we are calling it… → In Hong Kong we call it…,
,He is more tall than me. → He is taller than me.,
,This is the most funniest thing. → This is the funniest thing.,
,He is taller me. → He is taller than me.,
,This is more important you think. → This is more important than you think.,
,More better solution. → A better solution.,
,More earlier meeting. → An earlier meeting.,
,She speaks good. → She speaks well.,
,He did bad in the exam. → He did badly in the exam.,
,He drinks coffee always. → He always drinks coffee.,
,She goes usually to work at 9. → She usually goes to work at 9.,
,It is too good. → It is very good.,
,The room is very small to live in. → The room is too small to live in.,
,My three this friends. → These three friends of mine.,
,The Hong Kong beautiful city. → The beautiful city of Hong Kong.,
,I explained him the problem. → I explained the problem to him.,
,She suggested me a solution. → She suggested a solution to me.,
,Is very difficult. → It is very difficult.,
,Don’t know what to do. → I don’t know what to do.,
,Is raining. → It is raining.,
,Is important to try. → It is important to try.,
,This is no need. → There is no need.,
,Is no need to hurry. → There is no need to hurry.,
,The man lives upstairs is my boss. → The man who lives upstairs is my boss.,
,The company I work is big. → The company I work for is big.,
,The person which called me. → The person who called me.,
,The company who hired me. → The company that hired me.,
,The man who I met him yesterday. → The man who I met yesterday.,
,The place where we went there. → The place where we went.,
,I suggest to go home. → I suggest going home.,
,I decided going home. → I decided to go home.,
,To smoke is bad for health. → Smoking is bad for your health.,
,To read helps you relax. → Reading helps you relax.,
,"He likes reading, to swim and jogging. → He likes reading, swimming and jogging.",
,"The job is challenging, demanding and it is rewarding. → The job is challenging, demanding and rewarding.",
,"I was tired, I went home. → I was tired, so I went home.",
,"She is smart, she can finish it. → She is smart, and she can finish it.",
,Because I was tired. → I went home because I was tired.,
,Which caused a lot of problems. → This caused a lot of problems.,
,"We need pens, paper, stapler and so on. → We need stationery such as pens, paper and a stapler.",
,"Many people, cars, shops and so on. → Many people, cars and shops.",
,"We sell phone, computer, TV etc. → We sell phones, computers and TVs.",
,"We help with design, planning, development etc. → We help with design, planning and development.",
,I work in hong kong university. → I work in Hong Kong University.,
,He is from mainland china. → He is from Mainland China.,
,i think it’s fine. → I think it’s fine.,
,Can i ask a question? → Can I ask a question?,
We need,"apples oranges bananas. → We need apples, oranges and bananas.",
,"The report is clear, concise, accurate. → The report is clear, concise and accurate.",
,"If we finish early we can leave. → If we finish early, we can leave.",
,"When I arrived, then we started. → When I arrived, we started.",
,Please send me the file** ASAP** → Please send me the file ASAP.,
,I look forward to your reply** Thank you** → I look forward to your reply. Thank you.,
,Please send the report by 5pm! → Please send the report by 5pm.,
,I will attend the meeting! → I will attend the meeting.,
,This is Jacks car. → This is Jack’s car.,
,The companies policy is strict. → The company’s policy is strict.,
,It’s color is red. → Its color is red.,
,I think its going to rain. → I think it’s going to rain.,
,All the student’s must attend. → All the students must attend.,
,The employees performance is good. → The employees’ performance is good.,
,We don’t have enough data. → We do not have enough data.,
,We can’t confirm this yet. → We cannot confirm this yet.,
,"Our company, we believe in quality. → Our company believes in quality.",
,"My friend, he is a lawyer. → My friend is a lawyer.",
,The report was written by me yesterday. → I wrote the report yesterday.,
,The email was sent by us. → We sent the email.,
,The report need finish today. → The report needs to be finished today.,
,The form need sign. → The form needs to be signed.,
,Very perfect. → Absolutely perfect.,
,Very impossible. → Almost impossible.,
,It was such difficult. → It was so difficult.,
,It was so a big problem. → It was such a big problem.,
,I have much friends. → I have many friends.,
,I don’t have many money. → I don’t have much money.,
,Do you have some question? → Do you have any questions?,
,I don’t have some idea. → I don’t have any idea.,
,I have another two questions. → I have two other questions.,
,Please send me other file. → Please send me another file.,
,Each people must sign. → Every person must sign.,
,Every of them agreed. → All of them agreed.,
,"We have few time, we can relax. → We have a little time, we can relax.",
,I have a few money. → I have a little money.,
,"When John spoke to Peter, he was angry. → When John spoke to Peter, John was angry.",
,The company told the staff they must move. → The company told the staff that the staff must move.,
,Every employee must submit his report. → Every employee must submit their report.,
,Each student must bring his laptop. → Each student must bring their laptop.,
,Whom is calling? → Who is calling?,
,The person who I spoke to. → The person whom I spoke to.,
,Me and my friend went. → My friend and I went.,
,She gave it to John and I. → She gave it to John and me.,
,Between you and I. → Between you and me.,
,This is a secret between he and I. → …between him and me.,
,Can you tell me where is the station? → Can you tell me where the station is?,
,I don’t know what does he want. → I don’t know what he wants.,
,He said he is busy. → He said he was busy.,
,She told me she will come. → She told me she would come.,
,He told that he was tired. → He said that he was tired.,
,She said me the answer. → She told me the answer.,
,Do a decision. → Make a decision.,
,Make the homework. → Do the homework.,
,Can you borrow me some money? → Can you lend me some money?,
,I lent some money from him. → I borrowed some money from him.,
,He talked me the news. → He told me the news.,
,I want to say with you. → I want to talk with you.,
,I can’t listen you. → I can’t hear you.,
,Did you hear to the music? → Did you listen to the music?,
,I watch a bird in the tree. → I see a bird in the tree.,
,I see TV every night. → I watch TV every night.,
,Actually we will finish next year. → Eventually we will finish next year.,
,"Eventually, I don’t like it. → Actually, I don’t like it.",
,He is very sensible to criticism. → He is very sensitive to criticism.,
,That is a very sensitive plan. → That is a very sensible plan.,
,This is an economic car. → This is an economical car.,
,We face economical problems. → We face economic problems.,
,Open the meeting. → Start the meeting.,
,Do a presentation. → Give a presentation.,
,Thanks a lot for your help! → Thank you very much for your help.,
,"Hey guys, please find attached… → Dear all, please find attached…",
,Please kindly help to check. → Please check.,
,Please be informed that… → (Often) Please note that…,
,I very like it. → I like it very much.,
,I quite hate this. → I really hate this.,
,Our company got many projects. → Our company has many projects.,
,Today got meeting. → There is a meeting today.,
,Add oil! → Keep it up! / Hang in there!,
,Add oil in the exam! → Good luck in the exam!,
,I also agree too. → I also agree. / I agree too.,
,He is also my colleague too. → He is also my colleague.,
,I only spoke to him yesterday. → I spoke only to him yesterday.,
,I spoke to only him yesterday. → I only spoke to him yesterday.,
,"Because it rained, so we stayed home. → Because it rained, we stayed home.",
,So we were late because the bus broke down. → We were late because the bus broke down.,
,"Although it was late, but we continued. → Although it was late, we continued.",
,"Even though he was tired, but he worked. → Even though he was tired, he worked.",
,I like it so much. → I like it very much.,
,Thank you very much indeed. → Thank you very much.,
,It is very very important. → It is extremely important.,
,She is very nice and very friendly. → She is extremely nice and friendly.,
,"I was tired and I went home early. → Because I was tired, I went home early.",
,"He was sick and he didn’t come. → Since he was sick, he didn’t come.",
,"The result is good, but we are happy. → The result is good, and we are happy.",
,"The plan is simple, but effective. → The plan is simple and effective.",
,I studied hard so that pass the exam. → I studied hard so that I could pass the exam.,
,I studied hard for pass the exam. → I studied hard in order to pass the exam.,
,I went there for buy a book. → I went there to buy a book.,
,I use this to doing homework. → I use this to do homework.,
,I am used to eat late. → I am used to eating late.,
,I used to eating late. → I used to eat late.,
,"If it will rain, we will stay home. → If it rains, we will stay home.",
,"If I knew, I will tell you. → If I knew, I would tell you.",
,"If I studied harder, I would have a better job now. → If I had studied harder, I would have a better job now.",
,"If I had more time, I would have finished it yesterday. → If I had had more time, I would have finished it yesterday.",
,"Unless you don’t hurry, you’ll be late. → Unless you hurry, you’ll be late.",
,"Unless we aren’t careful, we will lose. → Unless we are careful, we will lose.",
,I don’t know if or not he will come. → I don’t know whether he will come.,
,Please let me know whether or not is he coming. → Please let me know whether he is coming or not.,
Missing definite article,"""I went to bank"" → ""I went to the bank""",
Missing indefinite article,"""She is teacher"" → ""She is a teacher""",
Unnecessary article with plural generalizations,"""The dogs are loyal animals"" → ""Dogs are loyal animals""",
Article with proper nouns,"""The Hong Kong is busy"" → ""Hong Kong is busy""",
Article with abstract nouns,"""The happiness is important"" → ""Happiness is important""",
Zero article with institutions (idiomatic),"""She is at the home"" → ""She is at home""",
Missing plural marker,"""five book"" → ""five books""",
Double plural,"""many peoples"" → ""many people""",
Irregular plural,"""childs"" → ""children""",
Uncountable noun pluralized,"""informations"" → ""information""",
Asian-specific plurals,"""staffs"" → ""staff""",
Missing past tense,"""I see him yesterday"" → ""I saw him yesterday""",
Simple past vs. present perfect,"""I already finished"" → ""I have already finished""",
Present perfect with specific time,"""I have seen him yesterday"" → ""I saw him yesterday""",
Progressive with stative verbs,"""I am knowing the answer"" → ""I know the answer""",
Future with present simple,"""I go tomorrow"" → ""I will go tomorrow""",
Past perfect confusion,"""After I ate, I had gone home"" → ""After I ate, I went home""",
Present simple for habits,"""He is always coming late"" → ""He always comes late""",
"Singular subject, plural verb","""She like coffee"" → ""She likes coffee""",
Collective noun agreement,"""The team are winning"" → ""The team is winning""",
There is/are errors,"""There is many people"" → ""There are many people""",
Neither/either agreement,"""Neither of them are correct"" → ""Neither of them is correct""",
Adjective after noun,"""shoes red"" → ""red shoes""",
Adverb placement with frequency,"""I always am late"" → ""I am always late""",
Question word order,"""Why you did that?"" → ""Why did you do that?""",
Indirect questions,"""I wonder where is he"" → ""I wonder where he is""",
Negative inversion,"""Never I have seen"" → ""Never have I seen""",
Time prepositions,"""at Monday"" → ""on Monday""",
Location prepositions,"""arrive to the office"" → ""arrive at the office""",
Dependent prepositions,"""discuss about"" → ""discuss""",
Transport prepositions,"""by the bus"" → ""by bus""",
"""Different from/than/to""","""different than you"" → ""different from you""",
Phrasal verb prepositions,"""look up it"" → ""look it up""",
Quantifiers with uncountables,"""many furniture"" → ""much furniture""",
"""Less"" vs. ""fewer""","""less people"" → ""fewer people""",
Amount vs. number,"""amount of students"" → ""number of students""",
Uncountable treated as countable,"""an advice"" → ""advice"" or ""a piece of advice""",
"""Equipment/machinery/luggage"" errors","""equipments"" → ""equipment""",
Missing subject pronoun,"""Is very important"" → ""It is very important""",
Unclear antecedent,"""Mary told Jane she was wrong"" → needs clarification",
Reflexive pronoun misuse,"""myself will attend"" → ""I will attend""",
Object pronoun as subject,"""Me and him went"" → ""He and I went""",
Missing relative pronoun,"""The book I bought it is good"" → ""The book I bought is good""",
Extra pronoun in relative clause,"""The person who he came"" → ""The person who came""",
Which vs. that,"""The people which attended"" → ""The people who/that attended""",
Preposition position,"""The house which I live in it"" → ""The house which I live in""",
Double modals,"""will can go"" → ""will be able to go""",
"Modal + infinitive with ""to""","""can to do"" → ""can do""",
Past modals,"""should went"" → ""should have gone""",
Tentative modals for politeness,"""You must attend"" → ""You should attend"" (in casual contexts)",
First conditional tense,"""If I will see him, I tell him"" → ""If I see him, I will tell him""",
Second conditional tense,"""If I will be rich, I would travel"" → ""If I were rich, I would travel""",
Mixed conditional errors,"""If I studied, I will pass"" → ""If I had studied, I would have passed""",
"""Enjoy/finish/avoid + infinitive""","""enjoy to swim"" → ""enjoy swimming""",
"""Want/hope/decide + gerund""","""want going"" → ""want to go""",
Missing auxiliary,"""The report written yesterday"" → ""The report was written yesterday""",
Wrong form,"""The email was sent to I"" → ""The email was sent to me""",
Unnecessary passive,"""The meeting was attended by all staff"" → ""All staff attended the meeting""",
Agent misplacement,"""was written the report by John"" → ""The report was written by John""",
Double subjects,"""My mother she is a teacher"" → ""My mother is a teacher""",
Topic-comment structure,"""This matter I don't know"" → ""I don't know about this matter""",
Classifier remnants,"""one piece of car"" → ""one car""",
"Redundant ""there""","""There has a problem"" → ""There is a problem""",
"""More/very + comparative""","""more better"" → ""better""",
Wrong adjective sequence,"""Chinese old beautiful building"" → ""beautiful old Chinese building""",
Double negatives,"""I don't need nothing"" → ""I don't need anything""",
"""Not"" placement","""I not am going"" → ""I am not going""",
"""No"" vs. ""not""","""is no good"" → ""is not good""",
Incomplete comparisons,"""This is more better"" → ""This is better""",
"""As...as"" structure","""as tall than"" → ""as tall as""",
Double comparison,"""more easier"" → ""easier""",
Informal in professional,"""kinda"" → ""somewhat"" (professional context)",
Contractions in formal writing,"""don't"" → ""do not"" (formal documents)",
Overly formal in casual,"""I shall attend"" → ""I'll come"" (casual context)",
Run-on sentences,"""I went home I ate dinner"" → ""I went home, and I ate dinner""",
Comma splice,"""It's raining, I'll stay home"" → ""It's raining, so I'll stay home""",
Fragment,"""Because I was tired."" → ""I stayed home because I was tired""",
Misplaced modifier,"""Running quickly, the bus was missed"" → ""Running quickly, I missed the bus""",
Tense backshift,"""He said he is tired"" → ""He said he was tired""",
Pronoun shift,"""She said, 'I am ready'"" → ""She said she was ready""",
Time expression changes,"""He said, 'I'll do it tomorrow'"" → ""He said he would do it the next day""",
"""Although...but""","""Although it's late, but I'll stay"" → ""Although it's late, I'll stay""",
"""Because...so""","""Because I'm tired, so I'll rest"" → ""Because I'm tired, I'll rest""",
Run-on with coordinator,"""I like tea I drink it daily"" → ""I like tea, and I drink it daily""",
Missing apostrophe,"""Johns car"" → ""John's car""",
Its vs. it's,"""Its raining"" → ""It's raining""",
What-cleft errors,"""The thing what I need is..."" → ""What I need is...""",
It-cleft word order,"""It was John who he came"" → ""It was John who came""",
Pseudo-cleft construction,"""What I do is I go"" → ""What I do is go""",
Wrong emphasis structure,"""It is that I need help"" → ""It is help that I need""",
Missing ellipsis,"""I can't play tennis, but she can play tennis"" → ""I can't play tennis, but she can""",
Incorrect substitution,"""I have three books and she has three books too"" → ""I have three books and she does too""",
Inappropriate ellipsis,"""Although tired, went home"" → ""Although tired, I went home""",
Dangling participle,"""Walking down the street, the trees were beautiful"" → ""Walking down the street, I saw beautiful trees""",
Wrong participle form,"""Been tired, I slept early"" → ""Being tired, I slept early""",
Missing subject match,"""Having finished the work, the TV was turned on"" → ""Having finished the work, I turned on the TV""",
Present vs. perfect participle,"""Finishing my work, I left"" → ""Having finished my work, I left""",
"Missing subjunctive after ""suggest""","""I suggest that he goes"" → ""I suggest that he go""",
"Subjunctive with ""insist""","""She insists that he comes"" → ""She insists that he come""",
"""It's time"" structure","""It's time you go"" → ""It's time you went""",
"""I'd rather"" structure","""I'd rather you will come"" → ""I'd rather you came""",
"""If I were"" vs. ""If I was""","""If I was rich"" → ""If I were rich""",
Inappropriate certainty,"""This is the reason"" → ""This may/might be the reason""",
Missing hedging in academic writing,"""proves that"" → ""suggests that""",
Over-hedging,"""It seems that it appears that perhaps"" → ""It appears that""",
Wrong boosting adverb,"""very proves"" → ""clearly proves""",
Verb + noun,"""do a mistake"" → ""make a mistake""",
Adjective + noun,"""strong tea"" vs. ""powerful tea"" → ""strong tea""",
Verb + preposition,"""discuss about"" → ""discuss""",
"""Make"" vs. ""do""","""make homework"" → ""do homework""",
"""Say"" vs. ""tell""","""say me"" → ""tell me""",
Time expressions,"""do time"" → ""spend time""",
Business collocations,"""do business"" vs. ""make business"" → ""do business""",
Informal markers in academic writing,"""Plus"" → ""Furthermore""",
Negative inversion word order,"""Never I have been"" → ""Never have I been""",
"""Seldom"" inversion","""Seldom we see"" → ""Seldom do we see""",
"""Rarely"" inversion","""Rarely she goes"" → ""Rarely does she go""",
"""Not only"" inversion","""Not only he is smart"" → ""Not only is he smart""",
"""Only after"" inversion","""Only after I left, I realized"" → ""Only after I left did I realize""",
Passive infinitive,"""It needs to repair"" → ""It needs to be repaired""",
Passive gerund,"""I remember someone telling me"" → ""I remember being told""",
Have something done,"""I cut my hair"" → ""I had my hair cut""",
Get passive,"""The window got broke"" → ""The window got broken""",
Passive with reporting verbs,"""People say that he is rich"" → ""He is said to be rich""",
Double passive,"""is wanted to be done"" → ""wants to be done""",
Clause as subject with wrong verb,"""What he said are wrong"" → ""What he said is wrong""",
"""That"" clause subject","""That he came are surprising"" → ""That he came is surprising""",
"""Whether"" clause","""Whether we go depend on weather"" → ""Whether we go depends on weather""",
Wrong word order,"""Is what you need this"" → ""This is what you need""",
