Error Type,Minimal Pair,Tier,Label,Runtime Behaviour,Justification,Cantonese Source,Source,Tier_Original
Calque Verb: 'Eat Medicine',Eat medicine. → Take medicine.,2.0,[Prescriptive],Flag + Explain,Lexical error; sounds childish or non-native.,食藥 (lit. 'eat medicine'),Table3_KeepFlag,2
'Got' for 'Have/There is',Got people inside. → There are people inside.,2.0,[Prescriptive],Flag + Explain,Non-standard existential. Needs explanation of 'there is/are' vs 'have/got'.,入面有人 (Colloquial Cantonese 有),Table3_KeepFlag,2
Missing 'be' in passive,The house built in 1990 → The house was built in 1990,2.0,[Prescriptive],Flag + Explain,Passive structure different; needs explanation.,間屋1990年起嘅 (no auxiliary),Category10_Passive_Voice,2
Passive with intransitive,The accident was happened → The accident happened,2.0,[Prescriptive],Flag + Explain,Transitivity needs explanation; confusing because both are past.,意外發生咗 (no passive),Category10_Passive_Voice,2
Wrong participle form,It was write → It was written,1.0,[Prescriptive],Flag Only,Basic morphology; C1 knows past participle.,,Category10_Passive_Voice,1
Wrong form after verb,I enjoy to read → I enjoy reading,2.0,[Prescriptive],Flag + Explain,Verb complementation pattern; needs explicit list/rule.,我鍾意睇書 (single verb form),Category11_Gerund_Infinitive,2
Wrong form after preposition,Interested in to learn → Interested in learning,1.0,[Prescriptive],Flag Only,Preposition + gerund rule is basic; self-evident.,有興趣學... (no distinction),Category11_Gerund_Infinitive,1
Wrong form with causatives,I made him to go → I made him go,2.0,[Prescriptive],Flag + Explain,Causative pattern needs explanation.,我叫佢去 (single form),Category11_Gerund_Infinitive,2
Uncountable as countable,An advice → A piece of advice / Some advice,2.0,[Prescriptive],Flag + Explain,English countability is arbitrary; needs memorization + partitive.,一個建議 (countable with classifier),Category12_Countability,2
Wrong quantifier (countable),Much people → Many people,1.0,[Prescriptive],Flag Only,Basic for C1; self-evident.,好多人 (single quantifier 多),Category12_Countability,1
Wrong quantifier (uncountable),Many money → Much money,1.0,[Prescriptive],Flag Only,Basic; self-evident.,好多錢 (single quantifier 多),Category12_Countability,1
Double comparative,More better → Better,1.0,[Prescriptive],Flag Only,Self-evident deletion; C1 knows.,更好 (single marker 更),Category13_Comparatives,1
Missing 'than',Taller from me → Taller than me,1.0,[Prescriptive],Flag Only,Simple substitution.,高過我 (single marker 過),Category13_Comparatives,1
Wrong superlative form,The most good → The best,1.0,[Prescriptive],Flag Only,Irregular form; C1 knows.,最好 (最 + good),Category13_Comparatives,1
Wrong tense in if-clause,If I will have time → If I have time,2.0,[Prescriptive],Flag + Explain,Conditional tense rules need explanation; common error.,如果我有時間 (no tense distinction),Category14_Conditionals,2
Mixed conditional types,"If I knew, I will tell you → If I knew, I would tell you",2.0,[Prescriptive],Flag + Explain,Consistency in conditional forms needs explanation.,"如果我知,我會話畀你知 (no modal distinction)",Category14_Conditionals,2
Subjunctive 'were',If I was you → If I were you,2.0,[Prescriptive],Flag + Explain,Subjunctive mood rare in modern English but expected in formal contexts; needs explanation.,如果我係你 (no mood distinction),Category14_Conditionals,2
Sentence fragment,Because I was tired. → I left early because I was tired.,2.0,[Prescriptive],Flag + Explain,Needs explanation of subordinate vs independent clauses.,因為我攰 (acceptable fragment in Cantonese),Category15_Sentence_Structure,2
Comma splice,"I was tired, I went home → I was tired, so I went home",2.0,[Prescriptive],Flag + Explain,Needs explanation of clause linking.,"我攰咗,我返屋企 (comma acceptable)",Category15_Sentence_Structure,2
Run-on sentence,I went home I was tired → I went home because I was tired,2.0,[Prescriptive],Flag + Explain,Needs explanation of clause boundaries.,我返屋企我攰 (juxtaposition OK),Category15_Sentence_Structure,2
Dangling modifier,"Walking down the street, the trees were beautiful → Walking down the street, I saw beautiful trees",2.0,[Prescriptive],Flag + Explain,Complex; needs explanation of subject match.,"行落街,啲樹好靚 (topic acceptable)",Category15_Sentence_Structure,2
Wrong tense backshift,He said he is tired → He said he was tired,2.0,[Prescriptive],Flag + Explain,Backshift rules need explanation; not intuitive.,佢話佢攰 (no backshift),Category16_Reported_Speech,2
No change in time adverbials,She said she would come tomorrow → She said she would come the next day,2.0,[Prescriptive],Flag + Explain,Deictic shift needs explanation.,佢話佢聽日會嚟 (no shift),Category16_Reported_Speech,2
Question form in reported question,He asked where is she → He asked where she was,2.0,[Prescriptive],Flag + Explain,Embedded question word order needs explanation.,佢問佢喺邊 (no inversion),Category16_Reported_Speech,2
Missing comma in non-restrictive,"My brother who lives in London → My brother, who lives in London,",2.0,[Prescriptive],Flag + Explain,Restrictive vs non-restrictive distinction affects meaning; needs explanation.,我阿哥喺倫敦住 (no comma),Category17_Punctuation,2
Missing apostrophe in possessive,The students books → The students' books,1.0,[Prescriptive],Flag Only,Basic; self-evident.,學生啲書 (possessive particle 啲),Category17_Punctuation,1
Its vs it's,Its raining → It's raining,1.0,[Prescriptive],Flag Only,Common typo/confusion but self-evident fix.,,Category17_Punctuation,1
Subject-object confusion,Between you and I → Between you and me,2.0,[Prescriptive],Flag + Explain,Case system needs explanation; hypercorrection common.,你同我之間 (no case marking),Category18_Pronouns,2
Reflexive misuse,Myself did it → I did it,2.0,[Prescriptive],Flag + Explain,Reflexive use rules need explanation; common over-formality.,我自己做咗 (reflexive overused),Category18_Pronouns,2
Possessive vs possessive pronoun,That book is my → That book is mine,1.0,[Prescriptive],Flag Only,Basic; self-evident.,嗰本書係我嘅 (single form 我嘅),Category18_Pronouns,1
Missing inversion after negative,Never I have seen → Never have I seen,2.0,[Prescriptive],Flag + Explain,Inversion rules complex and formal; needs explanation.,我從來未見過 (no inversion),Category19_Advanced_Structures,2
Wrong tag question,"You like it, isn't it? → You like it, don't you?",2.0,[Prescive],Flag + Explain,Tag formation needs explanation; Cantonese uses single tag.,"你鍾意,係唔係? (係唔係 for all)",Category19_Advanced_Structures,2
Parallel structure error,"I like reading, to swim and jogging → I like reading, swimming and jogging",2.0,[Prescriptive],Flag + Explain,Parallelism rule needs explanation.,我鍾意睇書、游水同跑步 (all same form),Category19_Advanced_Structures,2
-ing vs -ed confusion,I am boring → I am bored,2.0,[Prescriptive],Flag + Explain,Participial adjective distinction needs explanation.,我好悶 (no distinction),Category19_Advanced_Structures,2
Missing definite article,I went to library. → I went to the library.,2.0,[Prescriptive],Flag + Explain,Article system absent in Cantonese; needs explicit teaching of definiteness.,去咗圖書館 (no article),Category1_Articles,2
Missing indefinite article,He is teacher. → He is a teacher.,2.0,[Prescriptive],Flag + Explain,Common transfer error; needs explanation of count noun + indefinite article rule.,佢係老師 (no article),Category1_Articles,2
Unnecessary article with generics,The dogs are loyal. → Dogs are loyal.,2.0,[Prescriptive],Flag + Explain,Generic vs specific article use is subtle; needs explanation.,狗好忠心 (no article for generics),Category1_Articles,2
Article with uncountable nouns,I need an information. → I need information.,2.0,[Prescriptive],Flag + Explain,Countability + article interaction; needs explicit rule.,我要啲資料 (no article),Category1_Articles,2
Article with proper nouns,The Hong Kong is busy. → Hong Kong is busy.,1.0,[Prescriptive],Flag Only,Self-evident for C1; just delete 'the'.,香港好繁忙 (no article),Category1_Articles,1
Zero article with institutions,She is at the home. → She is at home.,2.0,[Naturalness],Flag + Explain,Idiomatic; needs explanation of fixed expressions.,佢喺屋企 (no article),Category1_Articles,2
Missing plural -s,Three book → Three books,1.0,[Prescriptive],Flag Only,Very basic for C1; self-evident with numeral.,三本書 (no plural marking),Category2_Plural_Marking,1
Irregular plural,Two childs → Two children,1.0,[Prescriptive],Flag Only,Basic morphology; C1 knows irregular forms.,兩個小朋友 (no plural marking),Category2_Plural_Marking,1
Double plural marking,Many peoples → Many people,2.0,[Prescriptive],Flag + Explain,Needs explanation that 'people' is already plural.,好多人 (no plural marking),Category2_Plural_Marking,2
Third person -s missing,She work here. → She works here.,1.0,[Prescriptive],Flag Only,Very common slip; self-evident for C1.,佢喺度做嘢 (no agreement marking),Category3_SVA,1
Agreement with quantifiers,Each of them have. → Each of them has.,2.0,[Prescriptive],Flag + Explain,Complex; needs explanation of 'each' as singular.,佢哋每個人都有 (no agreement),Category3_SVA,2
Existential 'there' agreement,There is many reasons. → There are many reasons.,2.0,[Prescriptive],Flag + Explain,Common error; needs explanation of post-verbal subject agreement.,有好多原因 (no agreement),Category3_SVA,2
Collective noun agreement,The team are ready. → The team is ready.,,[Descriptive],Do Not Flag,Dialect variation (BrE/AmE); spec says don't mark.,,Category3_SVA,—
Missing progressive,She cooks now. → She is cooking now.,2.0,[Prescriptive],Flag + Explain,Needs explanation of progressive for ongoing action.,佢而家煮緊飯 (progressive 緊),Category4_Aspect_Errors,2
Stative verb in progressive,I am knowing. → I know.,2.0,[Prescriptive],Flag + Explain,Needs explanation of stative vs dynamic verbs.,N/A (general ESL error),Category4_Aspect_Errors,2
Perfect with past time adverb,I have finished it yesterday. → I finished it yesterday.,2.0,[Prescriptive],Flag + Explain,Perfect vs simple past with definite time; needs explanation.,我尋日做完咗 (completive 咗),Category4_Aspect_Errors,2
Double modals,Will can you help? → Can you help?,1.0,[Prescriptive],Flag Only,Self-evident; just delete one modal.,你可唔可以幫手? (single modal),Category5_Modal_Verbs,1
Modal + infinitive with 'to',You should to go. → You should go.,1.0,[Prescriptive],Flag Only,Self-evident deletion; C1 knows this.,你應該去 (no 'to'),Category5_Modal_Verbs,1
Past modal formation,You should went. → You should have gone.,2.0,[Prescriptive],Flag + Explain,Complex structure; needs explanation of modal + perfect infinitive.,你應該去咗 (should + completive),Category5_Modal_Verbs,2
Wrong preposition (time),In Monday → On Monday,1.0,[Prescriptive],Flag Only,Basic for C1; self-evident fix.,星期一 (no preposition),Category6_Prepositions,1
Wrong preposition (place),In the bus → On the bus,2.0,[Prescriptive],Flag + Explain,Vehicle prepositions are idiomatic; needs explanation.,喺架巴士度 (single locative 喺),Category6_Prepositions,2
Wrong dependent preposition,Depend of → Depend on,1.0,[Prescriptive],Flag Only,Fixed collocation; C1 knows once flagged.,依賴... (no preposition),Category6_Prepositions,1
Missing preposition,Listen the music → Listen to the music,1.0,[Prescriptive],Flag Only,Self-evident insertion.,聽音樂 (no preposition),Category6_Prepositions,1
Unnecessary preposition,Discuss about → Discuss,1.0,[Prescriptive],Flag Only,Self-evident deletion.,討論... (no preposition),Category6_Prepositions,1
Adverb placement,He drives carefully always. → He always drives carefully.,2.0,[Prescriptive],Flag + Explain,Adverb placement rules complex; needs explanation.,佢成日小心咁揸車 (always at start),Category7_Word_Order,2
Adjective order,A wooden old table → An old wooden table,2.0,[Naturalness],Flag + Explain,OSASCOMP order is arbitrary; needs memorization.,一張舊木枱 (age before material),Category7_Word_Order,2
Question word order,Where you went? → Where did you go?,2.0,[Prescriptive],Flag + Explain,Inversion rule needs explanation; common transfer error.,你去咗邊? (no inversion),Category7_Word_Order,2
Indirect question word order,I wonder where is he. → I wonder where he is.,2.0,[Prescriptive],Flag + Explain,Embedded question rules need explanation.,我想知佢喺邊 (no inversion),Category7_Word_Order,2
Missing past tense marker,Yesterday I go. → Yesterday I went.,2.0,[Prescriptive],Flag + Explain,Core tense-aspect system difference; needs explanation.,"尋日我去咗 (aspect marker 咗, not tense)",Category8_Verb_Tense,2
Present perfect misuse,I am living here for 5 years. → I have lived here for 5 years.,2.0,[Prescriptive],Flag + Explain,Aspect system transfer; needs explanation of duration + perfect.,我住咗呢度五年 (completive 咗),Category8_Verb_Tense,2
Past vs present perfect,Did you eat lunch yet? → Have you eaten lunch yet?,2.0,[Prescriptive],Flag + Explain,'Yet' signals perfect in standard English; needs explanation.,你食咗飯未? (completive 咗 + 未),Category8_Verb_Tense,2
Future with present tense,Tomorrow I go. → Tomorrow I will go.,2.0,[Prescriptive],Flag + Explain,Tense required even with time adverb; transfer from context-based future in Cantonese.,聽日我去 (no future marker needed),Category8_Verb_Tense,2
Resumptive pronoun,The person who I met him → The person who I met,2.0,[Prescriptive],Flag + Explain,Classic Cantonese transfer; needs explanation of English relative clause structure.,我見過嗰個人佢... (resumptive chain),Category9_Relative_Clauses,2
Wrong relative pronoun,The place who I visited → The place that I visited,1.0,[Prescriptive],Flag Only,Simple substitution; C1 knows 'who' is for people.,我去過嗰度 (single 嗰 for all),Category9_Relative_Clauses,1
Missing relative with resumptive,The book I bought it → The book I bought,2.0,[Prescriptive],Flag + Explain,Compound error; needs explanation of both issues.,我買嗰本書佢... (topic chain),Category9_Relative_Clauses,2
